Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Wed Jun 27 15:09:27 +0000 2018,0.0,1.0,0.0,"🕺 *Knight Fever* 

Bee Gee Sir Barry Gibb paid tribute to his late brothers as he collected his knighthood on Tuesd… https://t.co/LLIHYKRfhR",0,@BBC
0.0,Wed Jun 27 14:42:13 +0000 2018,0.0,1.0,0.0,RT @bbccomedy: Some writing advice from an expert... #NationalWritingDay @RealMattLucas @davidwalliams https://t.co/lz2MQzpvKY,1,@BBC
0.0,Wed Jun 27 13:05:07 +0000 2018,0.0,1.0,0.0,"French butchers have written to the government asking for protection against militant vegans.
👉… https://t.co/6pgMQ46tUR",2,@BBC
-0.5106,Wed Jun 27 11:52:00 +0000 2018,0.35,0.65,0.0,☕️ How a simple change is cutting coffee cup waste https://t.co/kkbcSZvFn3,3,@BBC
0.9403,Wed Jun 27 11:39:52 +0000 2018,0.0,0.536,0.464,"RT @BBCBreakfast: Dear Summer, ☀️
We're enjoying this lovely weather. Can you stay?
Lots of love - The entire UK x
#heatwave https://t.co/g…",4,@BBC
0.0,Wed Jun 27 11:03:04 +0000 2018,0.0,1.0,0.0,"🦔🧙 Did you know people used to think hedgehogs were witches?

Here are nine things you might not know about the hum… https://t.co/Wj7a5idS4m",5,@BBC
0.0,Wed Jun 27 09:30:20 +0000 2018,0.0,1.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/qVNcgsGM8C",6,@BBC
0.6114,Wed Jun 27 08:47:40 +0000 2018,0.05,0.756,0.194,RT @BBCArchive: Computer geeks - this is your lucky day! You can now watch all 146 original programmes and run 161 programs from the 1980s…,7,@BBC
0.0,Wed Jun 27 08:01:05 +0000 2018,0.0,1.0,0.0,👟 @MumsnetTowers founder @Justine_Roberts on why you should always wear trainers to work. https://t.co/FgTPRo5Agm,8,@BBC
0.5106,Wed Jun 27 07:29:04 +0000 2018,0.047,0.809,0.145,"😴 The colour cyan - between green and blue - is a hidden factor in encouraging or preventing sleep, according to bi… https://t.co/HogBXzm2Y5",9,@BBC
0.4939,Wed Jun 27 07:01:05 +0000 2018,0.0,0.856,0.144,Inside the community where people with learning disabilities and the people who care for them live and work togethe… https://t.co/LurfYqtc84,10,@BBC
0.0,Tue Jun 26 21:20:15 +0000 2018,0.0,1.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",11,@BBC
0.0,Tue Jun 26 19:05:08 +0000 2018,0.0,1.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",12,@BBC
0.296,Tue Jun 26 18:03:06 +0000 2018,0.074,0.792,0.134,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",13,@BBC
0.0,Tue Jun 26 17:02:02 +0000 2018,0.0,1.0,0.0,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,14,@BBC
0.0,Tue Jun 26 16:33:41 +0000 2018,0.0,1.0,0.0,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",15,@BBC
0.0,Tue Jun 26 16:00:15 +0000 2018,0.0,1.0,0.0,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y,16,@BBC
0.0,Tue Jun 26 14:52:03 +0000 2018,0.0,1.0,0.0,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…",17,@BBC
0.836,Tue Jun 26 14:32:33 +0000 2018,0.0,0.683,0.317,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…",18,@BBC
0.6114,Tue Jun 26 13:12:16 +0000 2018,0.0,0.818,0.182,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…",19,@BBC
0.0,Tue Jun 26 12:58:04 +0000 2018,0.0,1.0,0.0,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt",20,@BBC
0.5267,Tue Jun 26 12:02:04 +0000 2018,0.0,0.673,0.327,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K",21,@BBC
0.0,Tue Jun 26 11:02:03 +0000 2018,0.0,1.0,0.0,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv",22,@BBC
0.0,Tue Jun 26 09:30:00 +0000 2018,0.0,1.0,0.0,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN",23,@BBC
-0.2732,Tue Jun 26 08:00:16 +0000 2018,0.139,0.861,0.0,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L,24,@BBC
-0.7717,Tue Jun 26 07:26:08 +0000 2018,0.295,0.705,0.0,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb",25,@BBC
0.5994,Tue Jun 26 07:00:12 +0000 2018,0.0,0.769,0.231,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG,26,@BBC
0.5859,Mon Jun 25 18:03:04 +0000 2018,0.0,0.696,0.304,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E,27,@BBC
0.0,Mon Jun 25 17:31:08 +0000 2018,0.0,1.0,0.0,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK,28,@BBC
0.2732,Mon Jun 25 16:02:03 +0000 2018,0.0,0.769,0.231,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",29,@BBC
-0.5524,Mon Jun 25 15:01:34 +0000 2018,0.229,0.771,0.0,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,30,@BBC
0.3182,Mon Jun 25 14:57:32 +0000 2018,0.0,0.839,0.161,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,31,@BBC
0.5423,Mon Jun 25 13:48:41 +0000 2018,0.0,0.842,0.158,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",32,@BBC
0.636,Mon Jun 25 13:03:07 +0000 2018,0.0,0.656,0.344,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",33,@BBC
0.5719,Mon Jun 25 12:04:05 +0000 2018,0.0,0.802,0.198,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,34,@BBC
0.34,Mon Jun 25 11:01:03 +0000 2018,0.104,0.741,0.156,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o",35,@BBC
0.0,Mon Jun 25 10:12:49 +0000 2018,0.0,1.0,0.0,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7",36,@BBC
-0.4215,Mon Jun 25 08:03:05 +0000 2018,0.128,0.872,0.0,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC,37,@BBC
0.0,Mon Jun 25 07:26:06 +0000 2018,0.0,1.0,0.0,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst",38,@BBC
-0.6486,Mon Jun 25 07:00:13 +0000 2018,0.301,0.699,0.0,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW,39,@BBC
