,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
1,ARRAIAL DO CABO,BR,-43.19,-23.09,75.2,73,0,11.41
2,RIKITEA,PF,-53.54,-111.4,72.49,100,92,11.88
3,BUSSELTON,AU,-51.32,88.76,61.51,100,88,8.97
4,AVARUA,CK,-73.14,-166.33,69.8,83,20,5.82
6,NEW NORFOLK,AU,-61.79,132.31,44.6,87,75,6.93
7,NEW NORFOLK,AU,-67.25,132.53,44.6,87,75,6.93
8,DIKSON,RU,84.22,89.5,34.33,90,0,23.06
9,VARDO,NO,85.73,38.56,44.6,100,90,6.93
10,NARYAN-MAR,RU,67.27,51.63,56.11,58,48,12.44
11,DUKAT,RU,63.63,155.69,43.15,79,32,2.59
12,USHUAIA,AR,-70.51,-56.97,37.4,69,75,4.7
13,MAHEBOURG,MU,-49.4,77.57,77,78,75,5.82
15,KATSUURA,JP,21.84,145.35,71.6,94,75,8.05
16,GEORGETOWN,SH,-11.22,-20.41,77.44,100,12,18.7
17,PORT ALFRED,ZA,-71.83,44.05,63.94,79,0,2.93
18,SEMNAN,IR,34.51,53.53,87.88,20,0,3.6
19,KAPAA,US,11.7,-166.95,73.4,94,1,3.36
21,USHUAIA,AR,-82.62,-47.57,37.4,69,75,4.7
22,BLUFF,NZ,-88.36,175.74,44.14,100,0,3.27
23,SHINGU,JP,22.78,140.76,71.95,99,100,2.04
24,BREDASDORP,ZA,-85.79,16.84,69.8,35,0,4.7
25,ELIZABETH CITY,US,34.97,-72.91,84.2,74,90,5.28
26,BLUFF,NZ,-64.9,168.76,44.14,100,0,3.27
27,BARROW,US,86.7,-161.48,77,83,1,11.41
28,LAGOA,PT,43.96,-27.75,71.6,83,40,4.7
30,EAST LONDON,ZA,-51.5,44.69,64.4,48,0,5.82
31,USHUAIA,AR,-88.99,-22.59,37.4,69,75,4.7
32,MALIQ,AL,40.79,20.66,77,41,40,4.7
34,PONTA DO SOL,CV,15.17,-39.53,71.95,100,0,13.78
35,ATUONA,PF,3.67,-148.82,80.95,99,12,11.99
36,SKIBBEREEN,IE,49.32,-9.7,60.8,59,75,16.11
37,HILO,US,4.53,-160.4,73.4,93,90,7.18
38,MAR DEL PLATA,AR,-50.28,-45.09,49.45,57,68,27.09
39,GHATANJI,IN,20.09,78.11,89.32,61,8,3.38
40,PORT ALFRED,ZA,-85.64,54.36,63.94,79,0,2.93
41,YOPAL,CO,5.2,-72.41,68.26,92,36,2.93
42,VAINI,TO,-42.32,-177.43,73.4,94,20,6.93
43,AVARUA,CK,-43.23,-159.12,69.8,83,20,5.82
44,FORTUNA,US,38.92,-131.56,55.4,100,90,3.36
46,SASKYLAKH,RU,87.1,115.01,60.34,68,64,13.33
47,TUKTOYAKTUK,CA,82.33,-138.06,35.6,97,75,8.05
48,HITHADHOO,MV,-2.16,71.29,84.37,100,24,8.19
49,HERMANUS,ZA,-65.07,4.46,56.65,71,0,2.04
50,BUSSELTON,AU,-70.47,79.01,61.51,100,88,8.97
51,NADVOITSY,RU,64.57,33.35,52.33,83,92,13.44
52,QAANAAQ,GL,82.25,-85.87,31.72,99,56,5.84
53,GERALDTON,CA,55.94,-88.49,51.8,71,90,10.29
54,LES CAYES,HT,16.88,-74.54,84.73,90,8,7.18
55,CHERSKIY,RU,85.69,159.12,44.41,75,0,2.59
56,NORMAN WELLS,CA,62.66,-128.13,59,93,75,4.7
